id_venda,id_produto,nome_produto,quantidade,preco_unitario,data_venda
188,102,Produto B,1,55.81,2024-11-03
189,103,Produto C,10,92.65,2024-11-22
190,104,Produto D,6,89.12,2024-11-21
191,102,Produto B,6,33.98,2024-11-25
192,102,Produto B,7,26.52,2024-11-11
193,101,Produto A,10,24.92,2024-11-26
194,101,Produto A,5,88.2,2024-11-15
195,104,Produto D,9,57.26,2024-11-20
196,104,Produto D,8,63.7,2024-11-11
197,105,Produto E,7,8.12,2024-11-14
198,103,Produto C,1,45.47,2024-11-25
199,101,Produto A,5,87.34,2024-11-25
200,105,Produto E,4,63.47,2024-11-14
201,104,Produto D,8,48.31,2024-11-03
202,102,Produto B,9,51.23,2024-11-19
203,103,Produto C,3,72.5,2024-11-06
204,103,Produto C,3,95.11,2024-11-03
205,104,Produto D,2,68.66,2024-11-26
206,102,Produto B,2,90.73,2024-11-04
207,105,Produto E,6,67.92,2024-11-18
208,105,Produto E,9,90.36,2024-11-05
209,105,Produto E,8,19.74,2024-11-29
210,103,Produto C,5,22.5,2024-11-07
211,105,Produto E,4,51.52,2024-11-16
212,101,Produto A,5,62.29,2024-11-30
213,105,Produto E,7,9.22,2024-11-21
214,105,Produto E,9,80.6,2024-11-12
215,102,Produto B,1,24.14,2024-11-11
216,104,Produto D,9,53.61,2024-11-06
217,104,Produto D,1,54.71,2024-11-10
218,101,Produto A,10,67.66,2024-11-12
219,104,Produto D,10,11.52,2024-11-05
220,104,Produto D,3,6.91,2024-11-28
221,105,Produto E,1,73.89,2024-11-18
222,103,Produto C,2,15.26,2024-11-29
223,101,Produto A,9,5.6,2024-11-23
224,104,Produto D,9,41.2,2024-11-16
225,104,Produto D,9,68.34,2024-11-22
226,103,Produto C,8,80.91,2024-11-05
227,104,Produto D,4,12.38,2024-11-09
228,105,Produto E,1,74.5,2024-11-29
229,104,Produto D,4,14.04,2024-11-24
230,102,Produto B,2,28.38,2024-11-17
231,103,Produto C,7,43.74,2024-11-17
232,101,Produto A,6,52.06,2024-11-15
233,104,Produto D,3,24.72,2024-11-05
234,105,Produto E,10,78.51,2024-11-11
235,101,Produto A,10,84.73,2024-12-01
236,104,Produto D,6,83.46,2024-11-04
237,103,Produto C,7,59.35,2024-11-20
238,101,Produto A,6,86.01,2024-11-27
239,101,Produto A,7,49.16,2024-11-10
240,103,Produto C,4,49.79,2024-11-03
241,105,Produto E,2,25.35,2024-11-14
242,102,Produto B,4,98.83,2024-11-03
243,105,Produto E,4,69.04,2024-11-24
244,104,Produto D,1,72.71,2024-11-02
245,101,Produto A,6,66.68,2024-11-18
246,101,Produto A,9,85.98,2024-11-07
247,101,Produto A,8,16.83,2024-11-27
248,102,Produto B,10,83.18,2024-11-24
249,103,Produto C,9,95.35,2024-11-20
250,102,Produto B,3,11.45,2024-11-13
251,102,Produto B,6,50.12,2024-11-05
252,105,Produto E,4,50.01,2024-11-23
253,104,Produto D,9,88.52,2024-11-27
254,101,Produto A,10,39.79,2024-11-01
255,102,Produto B,7,92.24,2024-11-05
256,101,Produto A,1,45.4,2024-11-25
257,105,Produto E,3,36.4,2024-11-02
258,102,Produto B,4,72.17,2024-11-16
259,102,Produto B,8,11.6,2024-11-28
260,102,Produto B,7,13.08,2024-11-16
261,104,Produto D,4,84.99,2024-11-19
262,104,Produto D,9,57.57,2024-11-14
263,102,Produto B,10,34.43,2024-11-26
264,101,Produto A,5,25.06,2024-11-13
265,101,Produto A,7,83.74,2024-11-03
266,102,Produto B,2,66.18,2024-11-14
267,104,Produto D,6,9.89,2024-11-05
268,103,Produto C,5,74.91,2024-11-21
269,101,Produto A,7,76.95,2024-11-22
270,102,Produto B,1,61.51,2024-11-15
271,105,Produto E,1,68.66,2024-11-04
272,105,Produto E,10,40.88,2024-11-10
273,102,Produto B,10,51.3,2024-11-15
274,104,Produto D,5,63.85,2024-11-22
275,102,Produto B,9,52.08,2024-11-20
276,102,Produto B,10,49.79,2024-11-12
277,105,Produto E,2,45.47,2024-11-08
278,101,Produto A,2,64.54,2024-11-28
279,101,Produto A,8,58.94,2024-11-25
280,101,Produto A,8,15.35,2024-11-23
281,103,Produto C,4,65.23,2024-11-22
282,102,Produto B,8,69.43,2024-11-19
283,104,Produto D,1,28.42,2024-11-16
284,102,Produto B,4,89.22,2024-12-01
285,103,Produto C,10,98.92,2024-11-22
286,101,Produto A,6,93.23,2024-11-30
287,104,Produto D,9,92.26,2024-11-12
288,104,Produto D,1,72.95,2024-11-17
289,105,Produto E,1,61.17,2024-11-15
290,103,Produto C,9,45.28,2024-11-02
291,101,Produto A,2,26.87,2024-11-29
292,102,Produto B,6,37.56,2024-11-23
293,101,Produto A,1,6.86,2024-11-23
294,102,Produto B,4,48.41,2024-11-18
295,104,Produto D,7,87.04,2024-11-13
296,103,Produto C,10,22.73,2024-11-03
297,102,Produto B,7,40.97,2024-11-21
298,101,Produto A,1,96.96,2024-11-15
299,102,Produto B,8,6.38,2024-11-27
300,105,Produto E,6,78.27,2024-11-07
301,103,Produto C,7,21.66,2024-11-29
302,103,Produto C,2,80.43,2024-11-06
303,104,Produto D,9,62.53,2024-11-26
304,101,Produto A,3,65.45,2024-11-15
305,102,Produto B,10,86.29,2024-11-27
306,105,Produto E,3,39.22,2024-11-10
307,103,Produto C,2,51.09,2024-11-26
308,103,Produto C,10,52.34,2024-11-25
309,104,Produto D,7,11.17,2024-11-08
310,101,Produto A,7,57.58,2024-11-04
311,105,Produto E,2,23.43,2024-11-05
312,101,Produto A,1,77.43,2024-11-23
313,103,Produto C,7,15.5,2024-11-29
314,104,Produto D,10,51.33,2024-11-03
315,101,Produto A,7,96.79,2024-11-04
316,104,Produto D,4,8.35,2024-11-26
317,104,Produto D,1,85.39,2024-11-19
318,104,Produto D,2,5.75,2024-11-30
319,103,Produto C,4,64.95,2024-11-06
320,104,Produto D,4,39.34,2024-11-08
321,104,Produto D,2,75.85,2024-11-03
322,102,Produto B,9,25.04,2024-11-22
323,103,Produto C,5,61.56,2024-11-14
324,102,Produto B,8,52.0,2024-11-02
325,104,Produto D,4,64.56,2024-11-17
326,105,Produto E,3,15.05,2024-11-13
327,102,Produto B,8,14.18,2024-11-17
328,104,Produto D,6,7.56,2024-11-06
329,103,Produto C,4,38.21,2024-11-07
330,103,Produto C,9,32.39,2024-11-17
331,105,Produto E,10,42.14,2024-11-26
332,103,Produto C,6,67.61,2024-11-05
333,103,Produto C,10,33.81,2024-11-19
334,105,Produto E,1,65.66,2024-11-21
335,102,Produto B,7,77.58,2024-11-03
336,104,Produto D,1,52.54,2024-11-01
337,102,Produto B,4,96.93,2024-11-22
338,102,Produto B,1,79.14,2024-11-01
339,105,Produto E,9,24.02,2024-11-10
340,102,Produto B,2,94.34,2024-11-21
341,102,Produto B,9,38.95,2024-11-25
342,103,Produto C,4,69.84,2024-11-02
343,101,Produto A,9,91.38,2024-11-09
344,105,Produto E,6,90.88,2024-11-09
345,102,Produto B,4,30.99,2024-11-17
346,101,Produto A,8,41.39,2024-11-02
347,102,Produto B,7,11.54,2024-11-20
348,101,Produto A,1,96.19,2024-11-15
349,105,Produto E,6,93.4,2024-11-10
350,103,Produto C,1,20.92,2024-12-01
351,105,Produto E,7,80.81,2024-12-01
352,101,Produto A,6,52.37,2024-11-17
353,105,Produto E,10,39.88,2024-11-04
354,102,Produto B,4,91.84,2024-11-12
355,102,Produto B,4,75.72,2024-11-02
356,102,Produto B,5,84.22,2024-12-01
357,103,Produto C,8,29.42,2024-11-23
358,105,Produto E,4,31.0,2024-11-19
359,101,Produto A,6,58.62,2024-11-03
360,102,Produto B,8,27.58,2024-11-26
361,102,Produto B,10,20.59,2024-11-17
362,105,Produto E,5,28.7,2024-11-01
363,101,Produto A,6,61.92,2024-11-28
364,101,Produto A,3,27.57,2024-11-06
365,101,Produto A,1,37.59,2024-11-11
366,105,Produto E,8,77.3,2024-11-08
367,101,Produto A,8,66.61,2024-11-13
368,101,Produto A,2,44.39,2024-11-03
369,101,Produto A,2,5.59,2024-11-13
370,102,Produto B,5,76.56,2024-11-19
371,101,Produto A,7,27.57,2024-11-24
372,105,Produto E,4,92.43,2024-11-11
373,102,Produto B,7,95.32,2024-11-15
374,104,Produto D,3,43.54,2024-11-08
375,103,Produto C,9,77.76,2024-11-07
376,102,Produto B,5,8.21,2024-11-27
377,101,Produto A,8,36.7,2024-11-15
378,105,Produto E,8,15.31,2024-11-24
379,104,Produto D,10,28.57,2024-11-15
380,103,Produto C,8,66.49,2024-11-27
381,103,Produto C,10,40.03,2024-11-09
382,105,Produto E,6,35.64,2024-11-19
383,102,Produto B,8,33.06,2024-11-06
384,103,Produto C,7,59.83,2024-11-23
385,101,Produto A,9,7.45,2024-11-22
386,105,Produto E,1,71.73,2024-11-22
387,101,Produto A,1,86.37,2024-12-01
388,103,Produto C,10,75.22,2024-11-21
389,105,Produto E,7,39.49,2024-11-26
390,101,Produto A,2,83.2,2024-11-06
391,101,Produto A,2,21.37,2024-11-25
392,103,Produto C,3,43.84,2024-11-07
393,103,Produto C,1,38.46,2024-11-24
394,101,Produto A,5,90.42,2024-11-11
395,103,Produto C,2,14.91,2024-11-19
396,103,Produto C,5,41.74,2024-11-14
397,103,Produto C,4,88.14,2024-11-11
398,103,Produto C,5,66.78,2024-11-01
399,105,Produto E,2,97.86,2024-11-21
400,103,Produto C,2,72.25,2024-11-12
401,101,Produto A,6,26.97,2024-11-11
402,101,Produto A,6,93.71,2024-11-09
403,101,Produto A,3,97.58,2024-11-09
404,104,Produto D,10,27.91,2024-11-14
405,103,Produto C,7,46.01,2024-11-15
406,105,Produto E,2,40.61,2024-11-29
407,104,Produto D,7,9.42,2024-11-30
408,102,Produto B,6,15.55,2024-11-27
409,104,Produto D,6,78.38,2024-11-27
410,101,Produto A,1,50.19,2024-11-02
411,104,Produto D,9,37.32,2024-11-16
412,102,Produto B,3,89.58,2024-11-15
413,102,Produto B,4,47.15,2024-11-03
414,104,Produto D,1,29.63,2024-11-23
415,103,Produto C,1,86.59,2024-11-03
416,103,Produto C,8,65.04,2024-11-14
417,103,Produto C,9,34.56,2024-12-01
418,101,Produto A,1,93.43,2024-11-04
419,104,Produto D,5,16.16,2024-11-19
420,104,Produto D,5,95.18,2024-11-07
421,103,Produto C,5,20.31,2024-12-01
422,101,Produto A,7,59.67,2024-11-24
423,103,Produto C,2,83.92,2024-11-28
424,101,Produto A,4,63.08,2024-11-10
425,102,Produto B,2,67.88,2024-12-01
426,105,Produto E,8,15.64,2024-11-02
427,102,Produto B,9,88.95,2024-11-23
428,103,Produto C,3,69.18,2024-11-13
429,105,Produto E,7,22.68,2024-11-26
430,105,Produto E,1,50.82,2024-11-11
431,101,Produto A,4,80.62,2024-11-01
432,103,Produto C,4,23.05,2024-11-20
433,105,Produto E,4,45.93,2024-11-21
434,101,Produto A,10,71.82,2024-11-09
435,104,Produto D,7,81.66,2024-11-11
436,103,Produto C,4,96.22,2024-11-21
437,104,Produto D,6,93.85,2024-11-07
438,104,Produto D,3,64.37,2024-11-01
439,103,Produto C,7,35.61,2024-11-27
440,104,Produto D,8,75.82,2024-11-18
441,104,Produto D,10,53.09,2024-11-06
442,105,Produto E,8,72.41,2024-12-01
443,104,Produto D,5,66.48,2024-11-11
444,101,Produto A,4,42.68,2024-11-24
445,104,Produto D,4,57.73,2024-11-23
446,102,Produto B,7,12.62,2024-11-29
447,103,Produto C,9,77.38,2024-11-20
448,104,Produto D,9,16.35,2024-11-02
449,102,Produto B,5,64.58,2024-11-14
450,104,Produto D,3,12.48,2024-11-21
451,102,Produto B,7,85.45,2024-11-28
452,101,Produto A,2,76.25,2024-11-28
453,104,Produto D,3,90.84,2024-11-18
454,104,Produto D,6,81.25,2024-11-12
455,105,Produto E,2,7.27,2024-11-01
456,103,Produto C,9,78.48,2024-11-27
457,104,Produto D,2,65.78,2024-11-01
458,101,Produto A,9,97.69,2024-11-23
459,101,Produto A,2,67.46,2024-11-02
460,104,Produto D,7,69.12,2024-11-13
461,105,Produto E,1,16.32,2024-11-12
462,105,Produto E,7,58.75,2024-11-13
463,104,Produto D,4,46.22,2024-11-17
464,102,Produto B,10,5.2,2024-11-23
465,104,Produto D,4,76.2,2024-11-21
466,104,Produto D,4,21.2,2024-11-19
467,103,Produto C,3,87.81,2024-11-04
468,104,Produto D,5,32.38,2024-11-12
469,105,Produto E,1,63.53,2024-11-07
470,104,Produto D,9,27.73,2024-11-13
471,104,Produto D,4,24.67,2024-11-18
472,105,Produto E,6,68.47,2024-11-11
473,105,Produto E,7,92.59,2024-11-12
474,102,Produto B,10,92.05,2024-11-27
475,103,Produto C,4,66.21,2024-11-15
476,105,Produto E,2,58.83,2024-11-02
477,104,Produto D,7,47.15,2024-11-23
478,102,Produto B,7,29.52,2024-11-10
479,102,Produto B,10,49.32,2024-11-18
480,101,Produto A,8,98.75,2024-11-23
481,103,Produto C,4,55.25,2024-11-30
482,105,Produto E,3,82.13,2024-11-20
483,105,Produto E,10,81.43,2024-11-24
484,105,Produto E,1,19.33,2024-11-27
485,102,Produto B,8,21.08,2024-11-07
486,101,Produto A,9,72.41,2024-11-07
487,103,Produto C,3,43.18,2024-11-28
488,104,Produto D,7,71.47,2024-11-21
489,102,Produto B,4,81.38,2024-11-25
490,102,Produto B,7,21.71,2024-11-12
491,101,Produto A,5,85.7,2024-11-14
492,104,Produto D,1,70.18,2024-11-12
493,104,Produto D,5,10.78,2024-11-06
494,104,Produto D,9,26.74,2024-11-28
495,105,Produto E,1,36.84,2024-11-28
496,105,Produto E,4,44.48,2024-11-02
497,102,Produto B,9,81.66,2024-11-06
498,105,Produto E,7,40.62,2024-11-28
499,105,Produto E,9,37.07,2024-11-23
500,101,Produto A,1,48.2,2024-11-01
501,105,Produto E,8,68.15,2024-11-06
502,104,Produto D,10,99.38,2024-11-25
503,103,Produto C,8,25.54,2024-11-17
504,103,Produto C,1,16.7,2024-11-04
505,101,Produto A,2,79.79,2024-11-13
506,101,Produto A,7,66.41,2024-12-01
507,101,Produto A,9,47.71,2024-11-20
508,101,Produto A,8,63.7,2024-11-08
509,101,Produto A,5,71.99,2024-11-22
510,104,Produto D,9,80.76,2024-11-06
511,105,Produto E,1,11.22,2024-11-14
512,104,Produto D,1,82.55,2024-11-22
513,103,Produto C,2,24.27,2024-11-20
514,102,Produto B,5,90.74,2024-11-27
515,101,Produto A,6,92.11,2024-11-28
516,105,Produto E,7,90.76,2024-11-27
517,105,Produto E,10,35.8,2024-11-27
518,103,Produto C,3,78.82,2024-11-19
519,101,Produto A,3,82.78,2024-11-15
520,101,Produto A,3,12.04,2024-11-06
521,104,Produto D,3,14.96,2024-12-01
522,101,Produto A,3,68.32,2024-11-14
523,101,Produto A,1,45.48,2024-11-03
524,102,Produto B,8,80.46,2024-11-07
525,105,Produto E,10,62.13,2024-11-24
526,102,Produto B,3,41.95,2024-11-20
527,105,Produto E,4,96.7,2024-11-19
528,101,Produto A,10,36.65,2024-11-14
529,105,Produto E,8,32.09,2024-11-03
530,104,Produto D,2,87.66,2024-11-20
531,104,Produto D,6,39.36,2024-11-10
532,105,Produto E,8,45.57,2024-11-20
533,103,Produto C,7,67.76,2024-11-24
534,103,Produto C,5,60.79,2024-11-25
535,104,Produto D,5,53.52,2024-11-10
536,103,Produto C,1,53.83,2024-11-17
537,105,Produto E,3,46.27,2024-11-17
538,104,Produto D,6,66.23,2024-11-29
539,102,Produto B,8,48.23,2024-11-02
540,104,Produto D,8,11.18,2024-11-10
541,104,Produto D,5,77.42,2024-11-27
542,101,Produto A,6,45.3,2024-11-16
543,102,Produto B,1,90.71,2024-11-07
544,104,Produto D,9,53.1,2024-11-04
545,102,Produto B,1,65.89,2024-11-28
546,105,Produto E,3,95.87,2024-11-17
547,105,Produto E,3,30.56,2024-11-11
548,103,Produto C,6,16.47,2024-11-17
549,103,Produto C,4,21.59,2024-11-06
550,105,Produto E,6,13.45,2024-11-08
551,105,Produto E,7,48.67,2024-11-22
552,103,Produto C,6,51.21,2024-11-01
553,105,Produto E,2,51.73,2024-11-25
554,102,Produto B,8,5.69,2024-11-30
555,103,Produto C,4,91.9,2024-11-22
556,103,Produto C,1,20.48,2024-11-24
557,105,Produto E,3,51.39,2024-11-09
558,104,Produto D,6,98.92,2024-11-14
559,101,Produto A,10,45.21,2024-11-23
560,103,Produto C,4,5.65,2024-11-11
561,104,Produto D,3,24.07,2024-11-25
562,101,Produto A,5,52.28,2024-11-23
563,104,Produto D,10,83.3,2024-11-06
564,102,Produto B,10,74.18,2024-11-19
565,101,Produto A,8,13.47,2024-11-30
566,102,Produto B,3,45.79,2024-11-23
567,105,Produto E,8,62.74,2024-11-12
568,104,Produto D,9,49.48,2024-11-04
569,103,Produto C,6,73.81,2024-11-18
570,105,Produto E,7,10.67,2024-11-16
571,105,Produto E,1,18.4,2024-11-20
572,104,Produto D,10,60.26,2024-11-25
573,105,Produto E,3,17.18,2024-11-27
574,103,Produto C,9,35.83,2024-11-29
575,103,Produto C,6,23.56,2024-11-30
576,102,Produto B,1,72.75,2024-11-12
577,102,Produto B,4,54.98,2024-11-19
578,104,Produto D,9,8.18,2024-11-07
579,101,Produto A,9,53.85,2024-11-13
580,105,Produto E,3,17.27,2024-11-22
581,103,Produto C,8,83.34,2024-11-27
582,103,Produto C,4,71.29,2024-11-02
583,101,Produto A,4,72.01,2024-11-14
584,105,Produto E,1,88.86,2024-11-17
585,105,Produto E,10,32.69,2024-11-01
586,104,Produto D,7,97.02,2024-11-02
587,102,Produto B,1,26.47,2024-11-17
588,105,Produto E,9,80.07,2024-11-20
589,103,Produto C,4,45.7,2024-11-27
590,101,Produto A,2,15.3,2024-11-14
591,103,Produto C,8,83.94,2024-11-23
592,103,Produto C,9,64.92,2024-11-08
593,105,Produto E,3,37.55,2024-11-18
594,103,Produto C,4,70.09,2024-11-09
595,105,Produto E,9,55.85,2024-11-01
596,102,Produto B,9,76.99,2024-11-04
597,103,Produto C,3,12.03,2024-11-24
598,102,Produto B,5,39.64,2024-11-17
599,101,Produto A,3,96.26,2024-11-25
600,101,Produto A,10,90.04,2024-11-05
601,101,Produto A,1,13.58,2024-11-19
602,104,Produto D,6,43.49,2024-11-14
603,104,Produto D,9,58.05,2024-11-06
604,105,Produto E,7,92.74,2024-11-21
605,104,Produto D,3,91.37,2024-11-18
606,101,Produto A,10,51.42,2024-11-11
607,102,Produto B,10,34.63,2024-11-18
608,105,Produto E,1,36.09,2024-11-16
609,101,Produto A,9,30.67,2024-11-02
610,102,Produto B,6,73.71,2024-11-13
611,102,Produto B,2,77.01,2024-11-18
612,105,Produto E,2,62.22,2024-11-18
613,105,Produto E,3,70.07,2024-11-27
614,102,Produto B,3,65.5,2024-11-10
615,101,Produto A,9,37.54,2024-11-10
616,103,Produto C,8,16.17,2024-11-24
617,105,Produto E,3,12.83,2024-11-03
618,105,Produto E,6,44.49,2024-11-26
619,101,Produto A,3,24.44,2024-11-22
620,101,Produto A,8,56.83,2024-11-26
621,103,Produto C,3,98.19,2024-11-16
622,101,Produto A,3,6.93,2024-11-03
623,104,Produto D,2,95.94,2024-11-06
624,104,Produto D,5,34.93,2024-11-27
625,102,Produto B,6,89.07,2024-11-10
626,102,Produto B,10,87.48,2024-11-28
627,102,Produto B,10,24.53,2024-11-25
628,102,Produto B,8,61.47,2024-11-20
629,103,Produto C,6,78.97,2024-11-26
630,104,Produto D,2,9.85,2024-11-02
631,105,Produto E,7,85.84,2024-11-17
632,101,Produto A,1,47.34,2024-11-19
633,103,Produto C,3,22.09,2024-11-07
