Produto,Quantidade,Preço Unitário,Total,Linha de Produto,Tipo de Cliente,Gênero,Cidade
Açúcar,6,11.29104359746564,67.74626158479384,Higiene,VIP,Feminino,Rio de Janeiro
,5,,156.50130048390582,Limpeza,Regular,Feminino,Curitiba
Fruta,,6.347825375362616,57.130428378263545,Alimentos,Novo,Feminino,São Paulo
Óleo,5,43.845689047576826,219.22844523788413,Bebidas,Regular,Feminino,São Paulo
Macarrão,4,30.583986179963503,122.33594471985401,Alimentos,Regular,Masculino,Porto Alegre
Feijão,3,23.360796908790633,70.0823907263719,Bebidas,Novo,Masculino,Curitiba
Pão,2,,80.0727954443147,Bebidas,VIP,Masculino,São Paulo
Feijão,3,7.774900739397667,23.324702218193003,Limpeza,Regular,Feminino,Rio de Janeiro
Legumes,,5.246667570226606,31.480005421359635,Limpeza,VIP,Feminino,São Paulo
,2,,37.281424354829845,Higiene,Regular,Masculino,Belo Horizonte
Sal,4,31.227041010660663,124.90816404264265,Alimentos,Regular,Masculino,Curitiba
Macarrão,8,20.39713243286558,163.17705946292463,Alimentos,VIP,Outro,Curitiba
Feijão,1,30.347342706907497,30.347342706907497,Bebidas,VIP,Masculino,Belo Horizonte
Açúcar,7,30.424509739020284,212.97156817314197,Alimentos,VIP,Outro,São Paulo
Macarrão,,11.02016891532119,88.16135132256952,Higiene,VIP,Masculino,Rio de Janeiro
Feijão,3,,13.989530798075537,Higiene,Novo,Outro,Belo Horizonte
Feijão,4,8.00692038404701,32.02768153618804,Alimentos,VIP,Masculino,São Paulo
Sal,,14.084156119349851,42.252468358049555,Limpeza,VIP,Masculino,Curitiba
,4,40.44265724285246,161.77062897140985,Higiene,VIP,Masculino,Curitiba
Legumes,2,16.326876645321157,32.653753290642314,Higiene,Regular,Feminino,Porto Alegre
Pão,7,,308.4583531901715,Limpeza,Regular,Masculino,Porto Alegre
Fruta,5,25.930391565825925,129.65195782912963,Bebidas,Regular,Feminino,Rio de Janeiro
,,25.42758091503815,177.99306640526703,Alimentos,VIP,Feminino,Porto Alegre
,2,17.43902087653945,34.8780417530789,Higiene,Novo,Masculino,Belo Horizonte
Açúcar,3,28.88011662976956,86.64034988930868,Alimentos,VIP,Outro,São Paulo
Óleo,8,32.57759635165306,260.62077081322445,Higiene,Novo,Outro,Porto Alegre
Feijão,,13.735823382307542,96.15076367615279,Alimentos,VIP,Masculino,Rio de Janeiro
,1,7.220587738643045,7.220587738643045,Bebidas,VIP,Outro,Rio de Janeiro
,3,14.466050857816345,43.39815257344904,Bebidas,Regular,Outro,Curitiba
Arroz,,31.883339913973582,223.1833793978151,Limpeza,VIP,Masculino,São Paulo
,9,5.3445290065152635,48.100761058637374,Bebidas,Novo,Feminino,Curitiba
Feijão,7,1.0047034015806715,7.0329238110647,Limpeza,Novo,Masculino,Belo Horizonte
Óleo,1,22.65703198581839,22.65703198581839,Bebidas,Novo,Feminino,Belo Horizonte
,3,,138.422502198009,Bebidas,Regular,Feminino,São Paulo
Fruta,,26.469734095344077,238.2276068580967,Higiene,Novo,Outro,São Paulo
Pão,3,,94.28729917344036,Bebidas,Novo,Outro,Rio de Janeiro
,8,27.23109334105198,217.84874672841585,Bebidas,Novo,Outro,Curitiba
Leite,7,,220.52951275499268,Bebidas,Regular,Masculino,São Paulo
,,,12.50875220312373,Higiene,Novo,Outro,Rio de Janeiro
Leite,3,,66.03866884453254,Limpeza,VIP,Outro,São Paulo
Macarrão,1,27.878538779221547,27.878538779221547,Higiene,Novo,Masculino,Porto Alegre
,,13.41176411080748,53.64705644322992,Bebidas,Regular,Feminino,Belo Horizonte
Leite,,30.69672384454674,92.09017153364022,Bebidas,Regular,Masculino,Rio de Janeiro
Legumes,,39.10997409347803,351.9897668413023,Limpeza,Regular,Feminino,Porto Alegre
Óleo,2,29.32894024540704,58.65788049081408,Limpeza,Novo,Feminino,São Paulo
,6,36.47825438059213,218.8695262835528,Limpeza,VIP,Masculino,Rio de Janeiro
,8,44.723537107267624,357.788296858141,Bebidas,Novo,Outro,Belo Horizonte
Açúcar,6,6.0193336016567285,36.11600160994037,Bebidas,Regular,Masculino,Porto Alegre
Arroz,4,,117.4462290981979,Bebidas,Regular,Masculino,Curitiba
Legumes,,8.043555637335029,72.39200073601526,Alimentos,Novo,Masculino,Porto Alegre
Macarrão,4,2.0479427228223446,8.191770891289378,Bebidas,Regular,Feminino,Porto Alegre
,4,25.36558477213425,101.462339088537,Alimentos,Regular,Feminino,Curitiba
Legumes,4,40.26370821235561,161.05483284942244,Limpeza,Regular,Masculino,São Paulo
,5,32.32435023363509,161.62175116817542,Bebidas,VIP,Outro,Rio de Janeiro
Sal,,,217.91363335039986,Limpeza,VIP,Feminino,Rio de Janeiro
,2,1.7914518186592097,3.5829036373184193,Alimentos,VIP,Masculino,São Paulo
Açúcar,8,4.055346005097864,32.44276804078291,Bebidas,VIP,Feminino,Rio de Janeiro
,8,,31.888172311812788,Limpeza,Novo,Masculino,Rio de Janeiro
Açúcar,,30.835146093692167,215.84602265584516,Alimentos,Regular,Masculino,Curitiba
Arroz,6,9.731772142028714,58.39063285217228,Bebidas,Novo,Feminino,Curitiba
Óleo,6,,228.1977313980194,Bebidas,VIP,Feminino,São Paulo
Açúcar,9,16.331566489355254,146.98409840419728,Alimentos,Regular,Feminino,Curitiba
Óleo,5,,103.62593023822362,Limpeza,Novo,Feminino,Porto Alegre
Legumes,3,20.886837008717144,62.66051102615143,Alimentos,Novo,Feminino,Belo Horizonte
Legumes,,,223.40115063909874,Bebidas,VIP,Feminino,São Paulo
,1,18.733719466309893,18.733719466309893,Bebidas,VIP,Outro,Rio de Janeiro
Leite,2,,46.41057396198384,Alimentos,Regular,Masculino,Belo Horizonte
Macarrão,4,,113.17100021007377,Bebidas,Novo,Feminino,Belo Horizonte
Macarrão,4,35.93881228703779,143.75524914815117,Higiene,Regular,Feminino,Curitiba
Sal,,23.378198095643285,93.51279238257314,Bebidas,VIP,Feminino,São Paulo
Óleo,3,,107.74058058364254,Alimentos,VIP,Outro,Belo Horizonte
Macarrão,9,16.300119001004667,146.701071009042,Alimentos,Novo,Masculino,Curitiba
Macarrão,,,378.54787085553164,Bebidas,Novo,Masculino,São Paulo
Sal,8,,45.77599576865179,Limpeza,VIP,Masculino,São Paulo
Fruta,4,33.37684791343034,133.50739165372136,Limpeza,VIP,Masculino,Rio de Janeiro
,5,7.354047688515303,36.77023844257651,Limpeza,Novo,Outro,Curitiba
Açúcar,6,14.840448231117987,89.04268938670792,Bebidas,Regular,Feminino,Curitiba
Legumes,1,3.6110585146071337,3.6110585146071337,Limpeza,Regular,Feminino,Curitiba
Pão,3,30.99833109242507,92.9949932772752,Bebidas,VIP,Outro,São Paulo
Feijão,5,12.323989088915601,61.61994544457801,Alimentos,VIP,Outro,Porto Alegre
,,38.90493325749338,350.14439931744045,Alimentos,Regular,Masculino,São Paulo
Arroz,2,14.777646950764591,29.555293901529183,Bebidas,Regular,Outro,São Paulo
Feijão,9,8.19894463985552,73.79050175869969,Higiene,VIP,Feminino,Porto Alegre
Macarrão,,29.947652328218457,29.947652328218457,Higiene,Novo,Feminino,Rio de Janeiro
Leite,,29.196594325576086,233.5727546046087,Limpeza,Novo,Masculino,Porto Alegre
Fruta,2,,33.27814140177483,Alimentos,Regular,Masculino,Rio de Janeiro
,6,29.93411585649015,179.60469513894088,Higiene,Novo,Masculino,Rio de Janeiro
Sal,7,3.8901987699705414,27.23139138979379,Higiene,VIP,Masculino,Belo Horizonte
,7,38.92976237791953,272.5083366454367,Higiene,VIP,Outro,São Paulo
Fruta,4,,173.10231870795397,Bebidas,Regular,Feminino,Belo Horizonte
,3,31.867390437400022,95.60217131220007,Bebidas,Regular,Feminino,São Paulo
Feijão,,22.888543898389507,160.21980728872654,Limpeza,Regular,Masculino,Rio de Janeiro
Óleo,9,26.93309167914542,242.3978251123088,Bebidas,Regular,Feminino,Rio de Janeiro
Sal,6,9.058904281418652,54.35342568851191,Higiene,Regular,Outro,Porto Alegre
Leite,5,13.634724909615613,68.17362454807807,Higiene,VIP,Outro,São Paulo
,,33.26067348995689,232.82471442969825,Higiene,VIP,Outro,Belo Horizonte
Macarrão,,,91.81100781738665,Bebidas,Novo,Outro,Rio de Janeiro
,3,29.90276017799303,89.70828053397909,Higiene,VIP,Feminino,Porto Alegre
Fruta,6,14.76286796768813,88.57720780612878,Bebidas,Novo,Masculino,Rio de Janeiro
Pão,2,,75.038006361288,Bebidas,Regular,Masculino,Belo Horizonte
Sal,,36.923286241841346,110.76985872552405,Bebidas,Regular,Masculino,Belo Horizonte
Feijão,5,25.686444576254804,128.43222288127401,Limpeza,Regular,Feminino,Belo Horizonte
Açúcar,5,33.70397555087198,168.5198777543599,Alimentos,Regular,Feminino,Rio de Janeiro
Pão,7,31.64030348123764,221.48212436866348,Bebidas,Regular,Outro,Rio de Janeiro
Fruta,9,17.36684386341373,156.30159477072357,Alimentos,Novo,Outro,São Paulo
Fruta,,18.018387771426504,72.07355108570601,Limpeza,Novo,Masculino,Rio de Janeiro
Pão,9,,205.7233970989992,Limpeza,VIP,Feminino,Curitiba
Legumes,,5.014209907844223,45.12788917059801,Limpeza,VIP,Masculino,Curitiba
,,27.44307350520692,246.98766154686228,Limpeza,VIP,Outro,Belo Horizonte
Legumes,9,13.775238917520618,123.97715025768557,Alimentos,Regular,Feminino,Rio de Janeiro
Óleo,7,,216.64713297752914,Limpeza,Novo,Feminino,Curitiba
Pão,6,44.018385718278275,264.11031430966966,Alimentos,Novo,Outro,Curitiba
Feijão,5,,94.82899233432082,Bebidas,VIP,Masculino,Rio de Janeiro
,1,,30.164635258710888,Higiene,Regular,Outro,Curitiba
Fruta,,4.864875561012941,19.459502244051762,Limpeza,VIP,Masculino,Belo Horizonte
Pão,,,296.57875031882986,Higiene,Novo,Feminino,Porto Alegre
Macarrão,6,38.894775721872705,233.36865433123623,Higiene,Regular,Feminino,Rio de Janeiro
Macarrão,,20.088050016386095,80.35220006554438,Bebidas,Novo,Feminino,São Paulo
Fruta,4,37.96304508881722,151.85218035526887,Higiene,Regular,Feminino,São Paulo
Feijão,6,49.403085785198996,296.418514711194,Bebidas,VIP,Masculino,São Paulo
,6,47.73983107757082,286.43898646542493,Higiene,Novo,Feminino,Belo Horizonte
Feijão,1,,22.735904010004774,Limpeza,VIP,Outro,Belo Horizonte
Fruta,,10.407973723906908,10.407973723906908,Higiene,VIP,Feminino,Curitiba
Óleo,9,,446.0585625154503,Alimentos,VIP,Outro,Curitiba
Arroz,4,,96.18377681558273,Limpeza,Novo,Feminino,Curitiba
Macarrão,8,36.140399175963715,289.1231934077097,Alimentos,VIP,Outro,Porto Alegre
,,43.80794993721039,350.4635994976831,Limpeza,Novo,Masculino,Porto Alegre
Legumes,6,,241.24942171165122,Limpeza,Novo,Masculino,Belo Horizonte
Arroz,4,38.73327719240264,154.93310876961056,Higiene,VIP,Masculino,Rio de Janeiro
Sal,,,342.24081848719896,Limpeza,Novo,Masculino,Rio de Janeiro
Fruta,1,9.560700590946583,9.560700590946583,Bebidas,Regular,Masculino,Curitiba
Açúcar,8,20.12248655861688,160.97989246893505,Higiene,Regular,Masculino,Curitiba
,2,31.254031534968313,62.508063069936625,Alimentos,Novo,Feminino,Porto Alegre
Açúcar,6,,133.48510298677877,Bebidas,VIP,Outro,Porto Alegre
Açúcar,,21.286744139511455,63.860232418534366,Limpeza,VIP,Feminino,Rio de Janeiro
Leite,4,36.08686052648214,144.34744210592856,Limpeza,VIP,Masculino,Porto Alegre
Açúcar,4,31.66914401693653,126.67657606774613,Alimentos,VIP,Outro,Porto Alegre
Leite,5,12.036332454247404,60.181662271237016,Limpeza,Regular,Masculino,São Paulo
Legumes,5,8.047855812581652,40.23927906290826,Higiene,Regular,Outro,Belo Horizonte
Sal,,17.52242948069477,157.7018653262529,Bebidas,Regular,Outro,Curitiba
Macarrão,,25.262556836785574,227.36301153107016,Alimentos,VIP,Feminino,Curitiba
Fruta,2,4.581332119977821,9.162664239955642,Alimentos,Novo,Feminino,Belo Horizonte
Pão,2,32.90152441783536,65.80304883567072,Alimentos,Regular,Feminino,Belo Horizonte
Arroz,1,19.231406959803284,19.231406959803284,Higiene,Regular,Outro,Curitiba
Pão,4,27.722368317146177,110.88947326858471,Higiene,Regular,Masculino,Porto Alegre
Feijão,3,1.3835285451544785,4.150585635463436,Limpeza,VIP,Outro,Porto Alegre
Macarrão,,4.787247368569963,19.14898947427985,Alimentos,VIP,Masculino,Rio de Janeiro
Macarrão,8,7.769885878517694,62.15908702814155,Higiene,VIP,Feminino,Porto Alegre
Feijão,,21.000418342435246,63.00125502730574,Alimentos,Regular,Outro,Curitiba
Açúcar,5,27.348216585616424,136.7410829280821,Alimentos,Regular,Masculino,Curitiba
Feijão,9,5.92194358882546,53.29749229942914,Limpeza,VIP,Outro,Curitiba
Fruta,,8.287160769826306,24.861482309478916,Limpeza,Novo,Outro,Curitiba
Macarrão,4,48.94640251595949,195.78561006383796,Bebidas,VIP,Feminino,São Paulo
Açúcar,7,16.535320600886237,115.74724420620366,Bebidas,Regular,Masculino,São Paulo
Açúcar,2,33.722385025223055,67.44477005044611,Alimentos,Novo,Outro,Porto Alegre
Fruta,2,34.83421185514847,69.66842371029693,Higiene,Novo,Feminino,Porto Alegre
,,31.571955962483397,221.00369173738378,Higiene,Regular,Masculino,Belo Horizonte
Açúcar,8,,206.06887871421046,Bebidas,Novo,Feminino,São Paulo
Legumes,5,47.68270831240583,238.41354156202914,Alimentos,VIP,Masculino,Porto Alegre
Arroz,8,1.3983060596338501,11.186448477070801,Higiene,VIP,Masculino,Porto Alegre
Óleo,9,,226.60513401707527,Higiene,Regular,Outro,Curitiba
Leite,8,8.537793239022767,68.30234591218213,Higiene,VIP,Feminino,São Paulo
,9,14.521499980576278,130.6934998251865,Bebidas,VIP,Feminino,São Paulo
Fruta,1,,45.13573378762638,Higiene,Regular,Masculino,Rio de Janeiro
Feijão,7,5.55823548468243,38.90764839277701,Bebidas,Novo,Masculino,Porto Alegre
Pão,9,25.49546575981469,229.4591918383322,Alimentos,Novo,Masculino,Rio de Janeiro
Óleo,6,33.481782815278024,200.89069689166814,Higiene,Novo,Feminino,Rio de Janeiro
Óleo,9,45.710273879054945,411.3924649114945,Limpeza,Novo,Feminino,Rio de Janeiro
Óleo,1,30.4755548933737,30.4755548933737,Alimentos,Novo,Masculino,Curitiba
,3,24.851823070160123,74.55546921048037,Bebidas,Novo,Feminino,Curitiba
Óleo,7,46.47089856552345,325.29628995866415,Alimentos,VIP,Outro,São Paulo
Legumes,6,,227.4134910506586,Alimentos,Novo,Masculino,Rio de Janeiro
Macarrão,5,21.532596465623616,107.66298232811808,Alimentos,VIP,Masculino,Rio de Janeiro
Fruta,2,,66.58616148154536,Higiene,Regular,Outro,São Paulo
Sal,5,,124.85411908052276,Higiene,Regular,Masculino,Rio de Janeiro
Pão,,43.56503040510937,348.52024324087495,Alimentos,VIP,Feminino,Porto Alegre
,4,27.189063768442356,108.75625507376942,Alimentos,Novo,Masculino,São Paulo
Pão,7,5.762048371134072,40.334338597938505,Bebidas,Regular,Masculino,São Paulo
Legumes,6,36.7543601244661,220.52616074679662,Limpeza,Regular,Feminino,Curitiba
Leite,,18.659528404603886,55.978585213811655,Bebidas,Novo,Outro,Porto Alegre
,4,,69.11271448999513,Bebidas,VIP,Feminino,São Paulo
Feijão,4,,138.2520131879643,Alimentos,VIP,Outro,Rio de Janeiro
Pão,5,32.13624645541127,160.68123227705632,Alimentos,Regular,Feminino,São Paulo
Óleo,7,25.709413923468293,179.96589746427804,Alimentos,Regular,Outro,Porto Alegre
Sal,1,22.735236624189657,22.735236624189657,Bebidas,Novo,Outro,Rio de Janeiro
,3,29.192571344262824,87.57771403278846,Alimentos,Novo,Outro,Belo Horizonte
Açúcar,2,,38.445315229702885,Bebidas,VIP,Masculino,São Paulo
Feijão,7,,199.25794060776292,Limpeza,Novo,Feminino,Curitiba
Arroz,1,14.078493344360586,14.078493344360586,Higiene,Regular,Masculino,São Paulo
Legumes,8,,258.50633533697976,Limpeza,Regular,Masculino,Rio de Janeiro
Legumes,,,145.57819848988842,Bebidas,VIP,Outro,Rio de Janeiro
Feijão,5,30.240423902399822,151.20211951199911,Higiene,Novo,Feminino,Porto Alegre
Feijão,2,42.62464842960887,85.24929685921774,Higiene,Regular,Masculino,Belo Horizonte
Açúcar,2,36.17515348966154,72.35030697932308,Bebidas,Regular,Outro,Curitiba
Pão,6,10.374386564169466,62.2463193850168,Alimentos,Regular,Masculino,Porto Alegre
,6,38.37493152506965,230.24958915041788,Bebidas,Novo,Feminino,São Paulo
Pão,5,3.6988090459490808,18.494045229745403,Higiene,Regular,Masculino,São Paulo
Arroz,7,44.572577922175,312.008045455225,Bebidas,Novo,Masculino,São Paulo
Óleo,2,,35.41267670604066,Bebidas,Regular,Feminino,São Paulo
Pão,,29.907862651655023,149.53931325827512,Limpeza,VIP,Outro,São Paulo
Legumes,8,23.560051759386283,188.48041407509027,Limpeza,VIP,Masculino,Belo Horizonte
Macarrão,6,31.222089020019965,187.3325341201198,Alimentos,Novo,Feminino,São Paulo
Leite,,37.62426925242271,150.49707700969083,Alimentos,Novo,Outro,Curitiba
Leite,8,32.96777990267932,263.74223922143455,Bebidas,Novo,Masculino,Curitiba
Leite,7,,325.12890999992464,Higiene,VIP,Outro,Curitiba
Legumes,2,11.307687382752473,22.615374765504946,Bebidas,Novo,Masculino,São Paulo
Macarrão,,48.2423208384605,289.453925030763,Bebidas,VIP,Masculino,Porto Alegre
,5,4.399286133579622,21.99643066789811,Limpeza,Regular,Outro,Curitiba
Leite,2,25.623812027854637,51.247624055709274,Higiene,Novo,Feminino,Rio de Janeiro
,3,49.40070511453,148.20211534358998,Alimentos,Novo,Masculino,Belo Horizonte
Açúcar,8,,321.1540436205249,Limpeza,Regular,Outro,Belo Horizonte
Óleo,,49.7001316942006,49.7001316942006,Higiene,Novo,Feminino,Porto Alegre
Fruta,1,11.086912848870343,11.086912848870343,Limpeza,VIP,Masculino,Curitiba
Fruta,3,37.710598139876424,113.13179441962927,Higiene,Novo,Masculino,São Paulo
Sal,2,11.34364805644971,22.68729611289942,Bebidas,VIP,Feminino,Porto Alegre
Fruta,5,24.751812306161238,123.75906153080619,Higiene,Regular,Feminino,Curitiba
Óleo,5,22.720518080760826,113.60259040380413,Limpeza,Novo,Feminino,Belo Horizonte
Açúcar,8,,365.991077021893,Limpeza,VIP,Masculino,Curitiba
Macarrão,3,1.3915439408791115,4.174631822637334,Alimentos,VIP,Masculino,Porto Alegre
Leite,5,14.506999733758287,72.53499866879143,Limpeza,Regular,Masculino,São Paulo
Açúcar,1,5.597233999456576,5.597233999456576,Higiene,VIP,Masculino,Rio de Janeiro
Fruta,2,35.830484837363926,71.66096967472785,Alimentos,VIP,Masculino,Porto Alegre
,2,22.346396041646376,44.69279208329275,Bebidas,VIP,Masculino,Belo Horizonte
Óleo,5,19.009824789589295,95.04912394794647,Alimentos,Regular,Masculino,Rio de Janeiro
Açúcar,4,,187.46241462025347,Limpeza,VIP,Feminino,Rio de Janeiro
Fruta,5,14.709994659488379,73.5499732974419,Limpeza,Regular,Feminino,Porto Alegre
Sal,,2.453883770165355,7.361651310496065,Limpeza,VIP,Masculino,Belo Horizonte
Sal,7,,313.28346303062517,Limpeza,Regular,Masculino,Rio de Janeiro
,1,46.59142770545115,46.59142770545115,Bebidas,VIP,Masculino,São Paulo
,7,5.756731890941463,40.29712323659024,Bebidas,Novo,Feminino,Curitiba
Arroz,7,49.949730314858115,349.6481122040068,Limpeza,Novo,Masculino,Rio de Janeiro
Arroz,8,2.690225168654971,21.52180134923977,Bebidas,Regular,Masculino,Porto Alegre
Leite,,31.877397039229344,127.50958815691737,Alimentos,Novo,Masculino,Porto Alegre
Leite,9,46.46209387215685,418.15884484941165,Limpeza,Regular,Masculino,São Paulo
Pão,3,,4.147731469118222,Bebidas,Regular,Outro,Rio de Janeiro
,3,18.63128992587716,55.89386977763148,Bebidas,Regular,Feminino,São Paulo
Feijão,,48.88365248287135,146.65095744861404,Higiene,Regular,Masculino,Rio de Janeiro
Pão,7,6.05304969555863,42.37134786891041,Higiene,Novo,Outro,Curitiba
Açúcar,,,173.2346897760006,Higiene,Regular,Outro,Belo Horizonte
Legumes,,,30.25010329078165,Alimentos,Regular,Masculino,Belo Horizonte
Açúcar,7,,37.630833965683856,Higiene,Novo,Feminino,Rio de Janeiro
Arroz,,4.878760313436096,39.03008250748877,Higiene,Novo,Masculino,São Paulo
Fruta,3,3.295814426502772,9.887443279508314,Limpeza,Regular,Outro,Rio de Janeiro
Fruta,,,366.012167515758,Limpeza,Novo,Outro,Porto Alegre
Óleo,8,9.289259315188795,74.31407452151036,Higiene,Regular,Outro,Porto Alegre
Óleo,1,11.749540230893553,11.749540230893553,Higiene,VIP,Feminino,Belo Horizonte
,5,23.99655809130749,119.98279045653746,Higiene,VIP,Masculino,São Paulo
Feijão,7,28.52980738419517,199.70865168936618,Higiene,Novo,Outro,São Paulo
Arroz,2,17.068824880978507,34.137649761957015,Higiene,VIP,Masculino,Rio de Janeiro
Leite,7,11.698052538932027,81.88636777252418,Limpeza,VIP,Masculino,Belo Horizonte
,4,26.55968119978498,106.23872479913992,Higiene,Novo,Feminino,Curitiba
Açúcar,7,35.26215977451036,246.8351184215725,Higiene,VIP,Masculino,Rio de Janeiro
Legumes,7,45.78381575072423,320.4867102550696,Bebidas,Novo,Masculino,Curitiba
Leite,9,30.177930058690674,271.6013705282161,Bebidas,Regular,Outro,Curitiba
Pão,,16.159662191723324,32.31932438344665,Higiene,VIP,Outro,Porto Alegre
,3,,106.06288988935772,Alimentos,VIP,Outro,Belo Horizonte
Sal,9,49.998239475009505,449.9841552750855,Bebidas,Regular,Feminino,Porto Alegre
Legumes,5,31.211416078488575,156.05708039244288,Alimentos,VIP,Outro,Porto Alegre
Leite,3,,38.18001630140267,Bebidas,VIP,Masculino,Curitiba
Macarrão,9,25.074977681721236,225.67479913549113,Limpeza,VIP,Outro,Porto Alegre
Óleo,3,46.33780289362555,139.01340868087664,Limpeza,VIP,Masculino,Curitiba
Açúcar,8,28.407961666965484,227.26369333572387,Higiene,Regular,Feminino,Porto Alegre
Sal,6,,225.400828493051,Bebidas,Novo,Feminino,São Paulo
Fruta,7,,320.28291858323195,Alimentos,Novo,Outro,Porto Alegre
Feijão,5,2.1433856692457107,10.716928346228553,Higiene,Novo,Masculino,Rio de Janeiro
