Produto,Quantidade,Preço Unitário,Total,Linha de Produto,Tipo de Cliente,Gênero,Cidade
Feijão,10.0,7.0,70.0,Cereais,Pessoa Física,Feminino,Rio de Janeiro
Carne Bovina,1.0,25.0,25.0,Carnes,Pessoa Jurídica,Feminino,Rio de Janeiro
Iogurte,1.0,3.0,3.0,Laticínios,Pessoa Jurídica,Feminino,Rio de Janeiro
Biscoito,1.0,3.0,3.0,Biscoitos e Salgadinhos,Pessoa Jurídica,Feminino,Rio de Janeiro
Frango,6.0,12.0,72.0,Carnes,Pessoa Física,Masculino,Belo Horizonte
Pão,6.0,2.5,15.0,Padaria,Pessoa Física,Masculino,Belo Horizonte
Biscoito,6.0,3.0,18.0,Biscoitos e Salgadinhos,Pessoa Física,Masculino,Belo Horizonte
Sabão,6.0,8.0,48.0,Limpeza,Pessoa Física,Masculino,Belo Horizonte
Feijão,6.0,7.0,42.0,Cereais,Pessoa Física,Masculino,Belo Horizonte
Leite,8.0,4.5,36.0,Laticínios,Pessoa Jurídica,Masculino,Porto Alegre
Frango,8.0,12.0,96.0,Carnes,Pessoa Jurídica,Masculino,Porto Alegre
Sabão,10.0,8.0,80.0,Limpeza,Pessoa Física,Feminino,Curitiba
Iogurte,10.0,3.0,30.0,Laticínios,Pessoa Física,Feminino,Curitiba
Detergente,10.0,3.5,35.0,Limpeza,Pessoa Física,Feminino,Curitiba
Arroz,10.0,5.0,50.0,Cereais,Pessoa Física,Feminino,Curitiba
Biscoito,10.0,3.0,30.0,Biscoitos e Salgadinhos,Pessoa Física,Feminino,Curitiba
Feijão,1.0,7.0,7.0,Cereais,Pessoa Física,Masculino,Porto Alegre
Biscoito,1.0,3.0,3.0,Biscoitos e Salgadinhos,Pessoa Física,Masculino,Porto Alegre
Carne Bovina,1.0,25.0,25.0,Carnes,Pessoa Física,Masculino,Porto Alegre
Pão,1.0,2.5,2.5,Padaria,Pessoa Física,Masculino,Porto Alegre
Pão,7.0,2.5,17.5,Padaria,Pessoa Jurídica,Masculino,São Paulo
Leite,6.0,4.5,27.0,Laticínios,Pessoa Jurídica,Masculino,Curitiba
Pão,6.0,2.5,15.0,Padaria,Pessoa Jurídica,Masculino,Curitiba
Detergente,6.0,3.5,21.0,Limpeza,Pessoa Jurídica,Masculino,Curitiba
Frango,6.0,12.0,72.0,Carnes,Pessoa Jurídica,Masculino,Curitiba
Biscoito,1.0,3.0,3.0,Biscoitos e Salgadinhos,Pessoa Jurídica,Feminino,Belo Horizonte
Arroz,1.0,5.0,5.0,Cereais,Pessoa Jurídica,Feminino,
Iogurte,1.0,3.0,3.0,Laticínios,Pessoa Jurídica,Feminino,Belo Horizonte
Carne Bovina,1.0,25.0,25.0,Carnes,Pessoa Jurídica,Feminino,Belo Horizonte
Carne Bovina,5.0,25.0,125.0,Carnes,Pessoa Física,Masculino,Belo Horizonte
Detergente,10.0,3.5,35.0,Limpeza,Pessoa Jurídica,Masculino,São Paulo
Leite,6.0,4.5,27.0,Laticínios,Pessoa Física,Feminino,Curitiba
Pão,6.0,2.5,15.0,Padaria,Pessoa Física,Feminino,Curitiba
Biscoito,6.0,3.0,18.0,Biscoitos e Salgadinhos,Pessoa Física,Feminino,Curitiba
Frango,6.0,12.0,72.0,Carnes,Pessoa Física,Feminino,Curitiba
Pão,8.0,2.5,20.0,Padaria,Pessoa Física,Masculino,Belo Horizonte
Arroz,9.0,5.0,45.0,Cereais,Pessoa Física,Masculino,
Detergente,9.0,3.5,31.5,Limpeza,Pessoa Física,Masculino,São Paulo
Iogurte,8.0,3.0,24.0,Laticínios,Pessoa Física,Masculino,Porto Alegre
Sabão,,8.0,64.0,Limpeza,Pessoa Física,Masculino,Porto Alegre
Carne Bovina,8.0,25.0,200.0,Carnes,Pessoa Física,Masculino,Porto Alegre
Carne Bovina,7.0,25.0,175.0,Carnes,Pessoa Jurídica,Masculino,Curitiba
Frango,7.0,12.0,84.0,Carnes,Pessoa Jurídica,Masculino,Curitiba
Biscoito,7.0,3.0,21.0,Biscoitos e Salgadinhos,Pessoa Jurídica,Masculino,Curitiba
Detergente,7.0,3.5,24.5,Limpeza,Pessoa Jurídica,Masculino,Curitiba
Iogurte,7.0,3.0,21.0,Laticínios,Pessoa Jurídica,Masculino,Curitiba
Feijão,7.0,7.0,49.0,Cereais,Pessoa Física,Feminino,Belo Horizonte
Sabão,7.0,8.0,56.0,Limpeza,Pessoa Física,Feminino,Belo Horizonte
Frango,7.0,12.0,84.0,Carnes,Pessoa Física,Feminino,Belo Horizonte
Feijão,7.0,7.0,49.0,Cereais,Pessoa Física,Feminino,Curitiba
Biscoito,7.0,3.0,21.0,Biscoitos e Salgadinhos,Pessoa Física,Feminino,Curitiba
Leite,7.0,4.5,31.5,Laticínios,Pessoa Física,Feminino,Curitiba
Detergente,7.0,3.5,24.5,Limpeza,Pessoa Física,Feminino,Curitiba
Frango,7.0,12.0,84.0,Carnes,Pessoa Física,Feminino,Curitiba
Pão,1.0,2.5,2.5,Padaria,Pessoa Física,Masculino,Rio de Janeiro
Iogurte,1.0,3.0,3.0,Laticínios,Pessoa Física,Masculino,Rio de Janeiro
Sabão,1.0,8.0,8.0,Limpeza,Pessoa Física,Masculino,Rio de Janeiro
Arroz,1.0,5.0,5.0,Cereais,Pessoa Física,Masculino,Rio de Janeiro
Feijão,4.0,7.0,28.0,Cereais,Pessoa Física,Feminino,Rio de Janeiro
Iogurte,4.0,3.0,12.0,Laticínios,Pessoa Física,Feminino,Rio de Janeiro
Biscoito,4.0,3.0,12.0,Biscoitos e Salgadinhos,Pessoa Física,Feminino,Rio de Janeiro
Carne Bovina,10.0,25.0,250.0,Carnes,Pessoa Física,Feminino,Curitiba
Pão,10.0,2.5,25.0,Padaria,Pessoa Física,Feminino,Curitiba
Feijão,10.0,7.0,70.0,Cereais,Pessoa Física,Feminino,Curitiba
Biscoito,10.0,3.0,30.0,Biscoitos e Salgadinhos,Pessoa Física,Feminino,Curitiba
Arroz,10.0,5.0,50.0,Cereais,Pessoa Física,Feminino,Curitiba
Sabão,9.0,8.0,72.0,Limpeza,Pessoa Jurídica,Feminino,Belo Horizonte
Iogurte,9.0,3.0,27.0,Laticínios,Pessoa Jurídica,Feminino,
Pão,9.0,2.5,22.5,Padaria,Pessoa Jurídica,Feminino,Belo Horizonte
Feijão,9.0,7.0,63.0,Cereais,Pessoa Jurídica,Feminino,Belo Horizonte
Detergente,9.0,3.5,31.5,Limpeza,Pessoa Jurídica,Feminino,Belo Horizonte
Frango,2.0,12.0,24.0,Carnes,Pessoa Jurídica,Masculino,Belo Horizonte
Detergente,2.0,3.5,7.0,Limpeza,Pessoa Jurídica,Masculino,Belo Horizonte
Biscoito,2.0,3.0,6.0,Biscoitos e Salgadinhos,Pessoa Jurídica,Masculino,Belo Horizonte
Feijão,2.0,7.0,14.0,Cereais,Pessoa Jurídica,Masculino,Belo Horizonte
Carne Bovina,2.0,25.0,50.0,Carnes,Pessoa Jurídica,Masculino,Belo Horizonte
Carne Bovina,2.0,25.0,50.0,Carnes,Pessoa Física,Masculino,Curitiba
Pão,,2.5,5.0,Padaria,Pessoa Física,Masculino,Curitiba
Sabão,2.0,8.0,16.0,Limpeza,Pessoa Física,Masculino,Curitiba
Feijão,2.0,7.0,14.0,Cereais,Pessoa Física,Masculino,Curitiba
Leite,9.0,4.5,40.5,Laticínios,Pessoa Jurídica,Feminino,São Paulo
Detergente,9.0,3.5,31.5,Limpeza,Pessoa Jurídica,Feminino,São Paulo
Pão,9.0,2.5,22.5,Padaria,Pessoa Jurídica,Feminino,São Paulo
Iogurte,9.0,3.0,27.0,Laticínios,Pessoa Jurídica,Feminino,São Paulo
Sabão,9.0,8.0,72.0,Limpeza,Pessoa Jurídica,Feminino,São Paulo
Biscoito,4.0,3.0,12.0,Biscoitos e Salgadinhos,Pessoa Física,Masculino,Porto Alegre
Sabão,1.0,8.0,8.0,Limpeza,Pessoa Física,Masculino,Rio de Janeiro
Leite,1.0,4.5,4.5,Laticínios,Pessoa Física,Masculino,Rio de Janeiro
Arroz,1.0,5.0,5.0,Cereais,Pessoa Física,Masculino,Rio de Janeiro
Detergente,1.0,3.5,3.5,Limpeza,Pessoa Física,Masculino,Rio de Janeiro
Iogurte,1.0,3.0,3.0,Laticínios,Pessoa Física,Masculino,Rio de Janeiro
Carne Bovina,10.0,25.0,250.0,Carnes,Pessoa Jurídica,Masculino,Curitiba
Biscoito,10.0,3.0,30.0,Biscoitos e Salgadinhos,Pessoa Jurídica,Masculino,Curitiba
Detergente,10.0,3.5,35.0,Limpeza,Pessoa Jurídica,Masculino,Curitiba
Leite,10.0,4.5,45.0,Laticínios,Pessoa Jurídica,Masculino,Curitiba
Arroz,4.0,5.0,20.0,Cereais,Pessoa Física,Masculino,Porto Alegre
Iogurte,4.0,3.0,12.0,Laticínios,Pessoa Física,Masculino,Porto Alegre
Pão,9.0,2.5,22.5,Padaria,Pessoa Jurídica,Masculino,São Paulo
Pão,5.0,2.5,12.5,Padaria,Pessoa Física,Feminino,São Paulo
Feijão,5.0,7.0,35.0,Cereais,Pessoa Física,Feminino,São Paulo
Detergente,5.0,3.5,17.5,Limpeza,Pessoa Física,Feminino,São Paulo
Iogurte,5.0,3.0,15.0,Laticínios,Pessoa Física,Feminino,São Paulo
Carne Bovina,8.0,25.0,200.0,Carnes,Pessoa Física,Masculino,Porto Alegre
Frango,8.0,12.0,96.0,Carnes,Pessoa Física,Masculino,Porto Alegre
Sabão,8.0,8.0,64.0,Limpeza,Pessoa Física,Masculino,Porto Alegre
Sabão,,8.0,64.0,Limpeza,Pessoa Física,Feminino,São Paulo
Carne Bovina,8.0,25.0,200.0,Carnes,Pessoa Física,Feminino,São Paulo
Detergente,4.0,3.5,14.0,Limpeza,Pessoa Jurídica,Masculino,Porto Alegre
Iogurte,4.0,3.0,12.0,Laticínios,Pessoa Jurídica,Masculino,Porto Alegre
Arroz,8.0,5.0,40.0,Cereais,Pessoa Jurídica,Feminino,São Paulo
Sabão,8.0,8.0,64.0,Limpeza,Pessoa Jurídica,Feminino,São Paulo
Iogurte,8.0,3.0,24.0,Laticínios,Pessoa Jurídica,Feminino,São Paulo
Detergente,7.0,3.5,24.5,Limpeza,Pessoa Jurídica,Feminino,Porto Alegre
Arroz,7.0,5.0,35.0,Cereais,Pessoa Jurídica,Feminino,Porto Alegre
Iogurte,7.0,3.0,21.0,Laticínios,Pessoa Jurídica,Feminino,Porto Alegre
Frango,7.0,12.0,84.0,Carnes,Pessoa Jurídica,Feminino,Porto Alegre
Carne Bovina,7.0,25.0,175.0,Carnes,Pessoa Jurídica,Feminino,Porto Alegre
Detergente,4.0,3.5,14.0,Limpeza,Pessoa Jurídica,Masculino,Belo Horizonte
Sabão,6.0,8.0,48.0,Limpeza,Pessoa Jurídica,Feminino,Porto Alegre
Feijão,6.0,7.0,42.0,Cereais,Pessoa Jurídica,Feminino,Porto Alegre
Arroz,7.0,5.0,35.0,Cereais,Pessoa Jurídica,Feminino,Rio de Janeiro
Leite,7.0,4.5,31.5,Laticínios,Pessoa Jurídica,Feminino,Rio de Janeiro
Carne Bovina,7.0,25.0,175.0,Carnes,Pessoa Jurídica,Feminino,Rio de Janeiro
Biscoito,3.0,3.0,9.0,Biscoitos e Salgadinhos,Pessoa Física,Masculino,Belo Horizonte
Carne Bovina,3.0,25.0,75.0,Carnes,Pessoa Física,Masculino,Belo Horizonte
Leite,3.0,4.5,13.5,Laticínios,Pessoa Física,Masculino,Belo Horizonte
Feijão,3.0,7.0,21.0,Cereais,Pessoa Física,Masculino,Belo Horizonte
Leite,5.0,4.5,22.5,Laticínios,Pessoa Jurídica,Feminino,Curitiba
Sabão,5.0,8.0,40.0,Limpeza,Pessoa Jurídica,Feminino,Curitiba
Iogurte,3.0,3.0,9.0,Laticínios,Pessoa Jurídica,Masculino,São Paulo
Pão,3.0,2.5,7.5,Padaria,Pessoa Jurídica,Masculino,São Paulo
Pão,5.0,2.5,12.5,Padaria,Pessoa Jurídica,Feminino,Belo Horizonte
Biscoito,5.0,3.0,15.0,Biscoitos e Salgadinhos,Pessoa Jurídica,Feminino,Belo Horizonte
Carne Bovina,5.0,25.0,125.0,Carnes,Pessoa Jurídica,Feminino,Belo Horizonte
Iogurte,4.0,3.0,12.0,Laticínios,Pessoa Física,Masculino,Porto Alegre
Biscoito,9.0,3.0,27.0,Biscoitos e Salgadinhos,Pessoa Física,Feminino,Rio de Janeiro
Sabão,9.0,8.0,72.0,Limpeza,Pessoa Física,Feminino,Rio de Janeiro
Frango,10.0,12.0,120.0,Carnes,Pessoa Jurídica,Feminino,Porto Alegre
Frango,1.0,12.0,12.0,Carnes,Pessoa Jurídica,Feminino,São Paulo
Feijão,1.0,7.0,7.0,Cereais,Pessoa Jurídica,Feminino,São Paulo
Leite,1.0,4.5,4.5,Laticínios,Pessoa Jurídica,Feminino,São Paulo
Arroz,1.0,5.0,5.0,Cereais,Pessoa Jurídica,Feminino,São Paulo
Detergente,1.0,3.5,3.5,Limpeza,Pessoa Jurídica,Feminino,São Paulo
Detergente,10.0,3.5,35.0,Limpeza,Pessoa Física,Masculino,Porto Alegre
Feijão,1.0,7.0,7.0,Cereais,Pessoa Jurídica,Feminino,Porto Alegre
Carne Bovina,,25.0,25.0,Carnes,Pessoa Jurídica,Feminino,Porto Alegre
Pão,1.0,2.5,2.5,Padaria,Pessoa Jurídica,Feminino,Porto Alegre
Sabão,1.0,8.0,8.0,Limpeza,Pessoa Jurídica,Feminino,Porto Alegre
Iogurte,1.0,3.0,3.0,Laticínios,Pessoa Jurídica,Feminino,Porto Alegre
Detergente,1.0,3.5,3.5,Limpeza,Pessoa Jurídica,Feminino,Porto Alegre
Frango,,12.0,12.0,Carnes,Pessoa Jurídica,Feminino,Porto Alegre
Leite,1.0,4.5,4.5,Laticínios,Pessoa Jurídica,Feminino,Porto Alegre
Sabão,10.0,8.0,80.0,Limpeza,Pessoa Física,Feminino,Curitiba
Feijão,10.0,7.0,70.0,Cereais,Pessoa Física,Feminino,Curitiba
Pão,10.0,2.5,25.0,Padaria,Pessoa Física,Feminino,Curitiba
Frango,10.0,12.0,120.0,Carnes,Pessoa Física,Feminino,Curitiba
Iogurte,10.0,3.0,30.0,Laticínios,Pessoa Física,Feminino,Curitiba
Feijão,9.0,7.0,63.0,Cereais,Pessoa Física,Masculino,Porto Alegre
Feijão,5.0,7.0,35.0,Cereais,Pessoa Física,Feminino,São Paulo
Detergente,2.0,3.5,7.0,Limpeza,Pessoa Física,Feminino,São Paulo
Feijão,2.0,7.0,14.0,Cereais,Pessoa Física,Feminino,São Paulo
Carne Bovina,2.0,25.0,50.0,Carnes,Pessoa Física,Feminino,São Paulo
Frango,2.0,12.0,24.0,Carnes,Pessoa Física,Feminino,São Paulo
Sabão,5.0,8.0,40.0,Limpeza,Pessoa Jurídica,Feminino,Rio de Janeiro
Detergente,5.0,3.5,17.5,Limpeza,Pessoa Jurídica,Feminino,Rio de Janeiro
Leite,5.0,4.5,22.5,Laticínios,Pessoa Jurídica,Feminino,Rio de Janeiro
Biscoito,5.0,3.0,15.0,Biscoitos e Salgadinhos,Pessoa Jurídica,Feminino,Rio de Janeiro
Pão,5.0,2.5,12.5,Padaria,Pessoa Jurídica,Feminino,
Feijão,6.0,7.0,42.0,Cereais,Pessoa Física,Masculino,Porto Alegre
Iogurte,6.0,3.0,18.0,Laticínios,Pessoa Física,Masculino,Porto Alegre
Leite,6.0,4.5,27.0,Laticínios,Pessoa Física,Masculino,Porto Alegre
Pão,6.0,2.5,15.0,Padaria,Pessoa Física,Masculino,Porto Alegre
Arroz,6.0,5.0,30.0,Cereais,Pessoa Física,Masculino,Porto Alegre
Carne Bovina,9.0,25.0,225.0,Carnes,Pessoa Jurídica,Masculino,Belo Horizonte
Pão,9.0,2.5,22.5,Padaria,Pessoa Jurídica,Masculino,Belo Horizonte
Leite,2.0,4.5,9.0,Laticínios,Pessoa Jurídica,Feminino,São Paulo
Sabão,2.0,8.0,16.0,Limpeza,Pessoa Jurídica,Feminino,São Paulo
Sabão,3.0,8.0,24.0,Limpeza,Pessoa Física,Masculino,Belo Horizonte
Biscoito,8.0,3.0,24.0,Biscoitos e Salgadinhos,Pessoa Física,Feminino,São Paulo
Feijão,,7.0,56.0,Cereais,Pessoa Física,Feminino,São Paulo
Sabão,8.0,8.0,64.0,Limpeza,Pessoa Física,Feminino,São Paulo
Pão,8.0,2.5,20.0,Padaria,Pessoa Física,Feminino,São Paulo
Iogurte,8.0,3.0,24.0,Laticínios,Pessoa Física,Feminino,São Paulo
Pão,9.0,2.5,22.5,Padaria,Pessoa Física,Masculino,
Biscoito,9.0,3.0,27.0,Biscoitos e Salgadinhos,Pessoa Física,Masculino,Belo Horizonte
Sabão,9.0,8.0,72.0,Limpeza,Pessoa Física,Masculino,Belo Horizonte
Iogurte,9.0,3.0,27.0,Laticínios,Pessoa Física,Masculino,Belo Horizonte
Detergente,3.0,3.5,10.5,Limpeza,Pessoa Física,Masculino,Porto Alegre
Pão,3.0,2.5,7.5,Padaria,Pessoa Física,Masculino,Porto Alegre
Detergente,8.0,3.5,28.0,Limpeza,Pessoa Jurídica,Masculino,Curitiba
Feijão,8.0,7.0,56.0,Cereais,Pessoa Jurídica,Masculino,Curitiba
Iogurte,1.0,3.0,3.0,Laticínios,Pessoa Física,Masculino,São Paulo
Biscoito,1.0,3.0,3.0,Biscoitos e Salgadinhos,Pessoa Física,Masculino,São Paulo
Sabão,1.0,8.0,8.0,Limpeza,Pessoa Física,Masculino,São Paulo
Frango,1.0,12.0,12.0,Carnes,Pessoa Física,Masculino,São Paulo
Iogurte,10.0,3.0,30.0,Laticínios,Pessoa Física,Masculino,Porto Alegre
Carne Bovina,10.0,25.0,250.0,Carnes,Pessoa Física,Masculino,Porto Alegre
Feijão,10.0,7.0,70.0,Cereais,Pessoa Física,Masculino,Porto Alegre
Arroz,9.0,5.0,45.0,Cereais,Pessoa Jurídica,Feminino,São Paulo
Sabão,9.0,8.0,72.0,Limpeza,Pessoa Jurídica,Feminino,São Paulo
Sabão,2.0,8.0,16.0,Limpeza,Pessoa Jurídica,Feminino,Rio de Janeiro
Feijão,2.0,7.0,14.0,Cereais,Pessoa Jurídica,Feminino,Rio de Janeiro
Carne Bovina,5.0,25.0,125.0,Carnes,Pessoa Jurídica,Masculino,Curitiba
Arroz,5.0,5.0,25.0,Cereais,Pessoa Jurídica,Masculino,Curitiba
Pão,5.0,2.5,12.5,Padaria,Pessoa Jurídica,Masculino,Curitiba
Sabão,5.0,8.0,40.0,Limpeza,Pessoa Jurídica,Masculino,Curitiba
Feijão,7.0,7.0,49.0,Cereais,Pessoa Jurídica,Masculino,Rio de Janeiro
Frango,7.0,12.0,84.0,Carnes,Pessoa Jurídica,Masculino,Rio de Janeiro
Sabão,7.0,8.0,56.0,Limpeza,Pessoa Jurídica,Masculino,Rio de Janeiro
Biscoito,7.0,3.0,21.0,Biscoitos e Salgadinhos,Pessoa Jurídica,Masculino,Rio de Janeiro
Arroz,5.0,5.0,25.0,Cereais,Pessoa Jurídica,Feminino,Rio de Janeiro
Biscoito,5.0,3.0,15.0,Biscoitos e Salgadinhos,Pessoa Jurídica,Feminino,Rio de Janeiro
Leite,7.0,4.5,31.5,Laticínios,Pessoa Física,Feminino,Curitiba
Frango,,12.0,48.0,Carnes,Pessoa Física,Feminino,Porto Alegre
Pão,4.0,2.5,10.0,Padaria,Pessoa Física,Feminino,Porto Alegre
Biscoito,4.0,3.0,12.0,Biscoitos e Salgadinhos,Pessoa Física,Feminino,Porto Alegre
Sabão,4.0,8.0,32.0,Limpeza,Pessoa Física,Feminino,Porto Alegre
Leite,2.0,4.5,9.0,Laticínios,Pessoa Jurídica,Feminino,Belo Horizonte
Arroz,2.0,5.0,10.0,Cereais,Pessoa Jurídica,Feminino,Belo Horizonte
Frango,2.0,12.0,24.0,Carnes,Pessoa Jurídica,Feminino,Belo Horizonte
Biscoito,2.0,3.0,6.0,Biscoitos e Salgadinhos,Pessoa Jurídica,Feminino,Belo Horizonte
Iogurte,2.0,3.0,6.0,Laticínios,Pessoa Jurídica,Feminino,Belo Horizonte
Detergente,3.0,3.5,10.5,Limpeza,Pessoa Jurídica,Masculino,São Paulo
Sabão,3.0,8.0,24.0,Limpeza,Pessoa Jurídica,Masculino,São Paulo
Iogurte,3.0,3.0,9.0,Laticínios,Pessoa Jurídica,Masculino,São Paulo
Iogurte,7.0,3.0,21.0,Laticínios,Pessoa Física,Feminino,Porto Alegre
Biscoito,7.0,3.0,21.0,Biscoitos e Salgadinhos,Pessoa Física,Feminino,Porto Alegre
Frango,7.0,12.0,84.0,Carnes,Pessoa Física,Feminino,Porto Alegre
Sabão,7.0,8.0,56.0,Limpeza,Pessoa Física,Feminino,Porto Alegre
Arroz,7.0,5.0,35.0,Cereais,Pessoa Física,Feminino,Porto Alegre
Detergente,3.0,3.5,10.5,Limpeza,Pessoa Jurídica,Masculino,Curitiba
Leite,3.0,4.5,13.5,Laticínios,Pessoa Jurídica,Masculino,Curitiba
Feijão,3.0,7.0,21.0,Cereais,Pessoa Jurídica,Masculino,Curitiba
Feijão,9.0,7.0,63.0,Cereais,Pessoa Jurídica,Masculino,Curitiba
Arroz,,5.0,45.0,Cereais,Pessoa Jurídica,Masculino,Curitiba
Carne Bovina,9.0,25.0,225.0,Carnes,Pessoa Jurídica,Masculino,Curitiba
Pão,9.0,2.5,22.5,Padaria,Pessoa Jurídica,Masculino,Curitiba
Frango,9.0,12.0,108.0,Carnes,Pessoa Jurídica,Masculino,Curitiba
Frango,3.0,12.0,36.0,Carnes,Pessoa Física,Feminino,Rio de Janeiro
Pão,3.0,2.5,7.5,Padaria,Pessoa Física,Feminino,
Sabão,3.0,8.0,24.0,Limpeza,Pessoa Física,Feminino,Rio de Janeiro
Feijão,3.0,7.0,21.0,Cereais,Pessoa Física,Feminino,Rio de Janeiro
Carne Bovina,3.0,25.0,75.0,Carnes,Pessoa Física,Feminino,Rio de Janeiro
Sabão,6.0,8.0,48.0,Limpeza,Pessoa Física,Feminino,São Paulo
Arroz,6.0,5.0,30.0,Cereais,Pessoa Física,Feminino,São Paulo
Leite,6.0,4.5,27.0,Laticínios,Pessoa Física,Feminino,São Paulo
Detergente,6.0,3.5,21.0,Limpeza,Pessoa Física,Feminino,São Paulo
Pão,10.0,2.5,25.0,Padaria,Pessoa Física,Masculino,Rio de Janeiro
Carne Bovina,10.0,25.0,250.0,Carnes,Pessoa Física,Masculino,Rio de Janeiro
Leite,10.0,4.5,45.0,Laticínios,Pessoa Física,Masculino,Rio de Janeiro
